1,2,3,4,5,6,21
2,3,4,5,6,7,27
3,4,5,6,7,8,33
4,5,6,7,8,9,39
5,6,7,8,9,10,45
6,7,8,9,10,11,51
7,8,9,10,11,12,57
8,9,10,11,12,13,63
9,10,11,12,13,14,69
10,11,12,13,14,15,75
11,12,13,14,15,16,81
12,13,14,15,16,17,87
13,14,15,16,17,18,93
14,15,16,17,18,19,99
15,16,17,18,19,20,105
16,17,18,19,20,21,111
17,18,19,20,21,22,117
18,19,20,21,22,23,123
19,20,21,22,23,24,129
20,21,22,23,24,25,135
21,22,23,24,25,26,141
22,23,24,25,26,27,147
23,24,25,26,27,28,153
24,25,26,27,28,29,159
25,26,27,28,29,30,165
26,27,28,29,30,31,171
27,28,29,30,31,32,177
28,29,30,31,32,33,183
29,30,31,32,33,34,189
30,31,32,33,34,35,195
31,32,33,34,35,36,201
32,33,34,35,36,37,207
33,34,35,36,37,38,213
34,35,36,37,38,39,219
35,36,37,38,39,40,225
